"replicate_id","living_size","total_size","seed","speciation","extinction"
1,50,335,101,1.05973341501206,0.83566857508089
1,100,785,101,1.02491877689007,0.732393600988094
1,150,1017,101,1.04542387069341,0.758174753500823
2,50,254,102,1.10048391968038,0.708744143393824
2,100,771,102,1.01919579014751,0.722880863657501
2,150,744,102,1.02598145712367,0.735956160775144
3,50,354,103,1.02385860237211,0.799653459595117
3,100,931,103,0.999259285853946,0.739074508964375
3,150,928,103,1.04406153551427,0.694712112292633
4,50,481,104,1.02736784261338,0.820957115312076
4,100,357,104,1.12526371941858,0.653451388262636
4,150,1207,104,1.02022916735595,0.703847638906535
5,50,372,105,0.981359829256728,0.684906158353168
5,100,817,105,1.00164004023089,0.689817926096728
5,150,698,105,1.02963905865069,0.770643473129384
6,50,370,106,1.00307876291258,0.715196882574907
6,100,745,106,0.986702395104438,0.733269325450142
6,150,1061,106,1.03724031988713,0.790093762698642
7,50,214,107,1.01186959216725,0.654711038677802
7,100,815,107,1.02283052307309,0.790164968950266
7,150,948,107,1.04021533611953,0.696083066078266
8,50,165,108,1.18309367347304,0.71811445717689
8,100,457,108,1.05385518684937,0.684713824724056
8,150,544,108,1.05750202328171,0.470745184743061
9,50,325,109,0.999315025997446,0.736784364252138
9,100,754,109,0.999983348065527,0.738131852385722
9,150,1412,109,0.986628753080411,0.801163550530916
10,50,350,110,0.997561171459531,0.716756979535541
10,100,998,110,0.99533036518591,0.832035832574599
10,150,1361,110,1.01783454209845,0.765383761598442
11,50,248,111,1.08891100613728,0.748541018789533
11,100,854,111,1.03254329831374,0.71645749179421
11,150,1148,111,1.01574354019501,0.735965535909769
12,50,241,112,1.07134663403779,0.687758137048502
12,100,498,112,1.0175888241523,0.642038697177174
12,150,1302,112,1.01294031044739,0.689868700640902
13,50,255,113,1.0629916541477,0.62020108853011
13,100,826,113,1.01112241853525,0.760775803202089
13,150,824,113,1.02625267280261,0.747331718521994
14,50,233,114,1.09736306588093,0.740488690779533
14,100,654,114,1.06249866477739,0.632330753441474
14,150,729,114,1.09662706114083,0.692861652265882
15,50,311,115,1.09545277284768,0.833312658802667
15,100,510,115,1.02713395613773,0.722308081473956
15,150,1049,115,1.01939465668817,0.707467848591483
16,50,182,116,1.16006170493581,0.589505918443484
16,100,688,116,1.00655247421965,0.73100189167626
16,150,1289,116,1.0252008961382,0.85261660817866
17,50,325,117,0.998733770304383,0.757185151135057
17,100,672,117,1.04824781857379,0.745746254540658
17,150,831,117,1.03669620629222,0.648452280084416
18,50,217,118,1.19583011585373,0.797584972460395
18,100,679,118,1.00636009607478,0.76324193381154
18,150,964,118,1.02208659847709,0.820085742707909
19,50,485,119,1.07384940001284,0.855724274349248
19,100,696,119,1.01231528233034,0.702326309265354
19,150,1346,119,0.987317800915811,0.734779536479404
20,50,287,120,0.953593798427594,0.68023403847141
20,100,648,120,1.02244366881801,0.753715051016801
20,150,559,120,1.05715662549349,0.693973932249678
21,50,272,121,1.14489441778804,0.881984614218672
21,100,612,121,1.01455788023796,0.741847769067566
21,150,1120,121,1.02278434149886,0.742103432962078
22,50,287,122,1.03367699185007,0.680935684141648
22,100,545,122,1.07542465733786,0.64971800383196
22,150,1288,122,0.977902129135334,0.744607143809239
23,50,344,123,0.984310443137396,0.759448021447116
23,100,696,123,1.01028578299365,0.754113529101655
23,150,1254,123,0.999346032068401,0.810349720852763
24,50,161,124,1.1910921857235,0.796167869330013
24,100,681,124,0.97484438879946,0.77378331158762
24,150,1112,124,0.992623031221226,0.774435421854878
25,50,325,125,0.976106974911488,0.637102709126245
25,100,553,125,0.990315909274959,0.662180367803625
25,150,1336,125,1.0107849634062,0.762361855759503
26,50,159,126,1.09405228148322,0.782170840398136
26,100,403,126,1.13365498702248,0.831051041937021
26,150,1379,126,1.00107725963814,0.755665515191981
27,50,386,127,1.02777125432607,0.800737924329314
27,100,915,127,1.00192739834738,0.890988310059764
27,150,1410,127,1.01901110701417,0.795213703872816
28,50,317,128,1.06205310566484,0.698605488057092
